isim,cinsiyet,yas,boy,kilo,spor
Yang Fangxu,K,21.00,190.00,71.00,Voleybol
Foluke Antinuke Akinradewo,K,28.00,191.00,79.00,Voleybol
Laura Gil Collado,K,24.00,191.00,,Basketbol
Timo Horn,E,23.00,191.00,76.00,Futbol
Milena Rai,K,25.00,191.00,72.00,Voleybol
Kawika Shoji,E,28.00,191.00,88.00,Voleybol
Hui Ruoqi,K,25.00,192.00,78.00,Voleybol
Davie Selke,E,21.00,192.00,82.00,Futbol
Jovana Stevanovi,K,24.00,192.00,72.00,Voleybol
Yan Ni,K,29.00,192.00,74.00,Voleybol
Tijana Bokovi,K,19.00,193.00,82.00,Voleybol
Kimberly "Kim" Hill,K,26.00,193.00,72.00,Voleybol
Sara Krnji,K,25.00,193.00,83.00,Basketbol
Karsta Lowe,K,23.00,193.00,82.00,Voleybol
Taylor Sander,E,24.00,193.00,86.00,Voleybol
Breanna Mackenzie Stewart,K,21.00,193.00,79.00,Basketbol
Zhang Changning,K,20.00,193.00,79.00,Voleybol
Jelena Nikoli,K,34.00,194.00,79.00,Voleybol
William Reid Priddy,E,38.00,194.00,89.00,Voleybol
Elena Delle Donne,K,26.00,195.00,86.00,Basketbol
Ricardo Samuel Lucarelli Santos de Souza,E,24.00,195.00,79.00,Voleybol
Astou Barro Ndour Gueye,K,21.00,195.00,68.00,Basketbol
Dragana Stankovi,K,21.00,195.00,73.00,Basketbol
Niklas Sle,E,20.00,195.00,95.00,Futbol
Alba Torrens Salom,K,26.00,195.00,80.00,Basketbol
Xu Yunli,K,29.00,195.00,75.00,Voleybol
Luiz Felipe Marques Fonteles,E,32.00,196.00,89.00,Voleybol
Mara Lucila Pascua Surez,K,33.00,196.00,93.00,Basketbol
Oleg Antonov,E,28.00,198.00,88.00,Voleybol
Sylvia Shaqueria Fowles,K,30.00,198.00,90.00,Basketbol
Simone Giannelli,E,19.00,198.00,92.00,Voleybol
Thomas "Tom" Jaeschke,E,22.00,198.00,91.00,Voleybol
Filippo Lanza,E,25.00,198.00,98.00,Voleybol
Wallace Leandro de Souza,E,29.00,198.00,87.00,Voleybol
Zhu Ting,K,21.00,198.00,78.00,Voleybol
Maurcio Borges Almeida Silva,E,27.00,199.00,99.00,Voleybol
Douglas Correia de Souza,E,20.00,199.00,75.00,Voleybol
Osmany Juantorena Portuondo,E,30.00,200.00,85.00,Voleybol
Luca Vettori,E,25.00,200.00,95.00,Voleybol
David Michael Smith,E,31.00,201.00,86.00,Voleybol
Yuan Xinyue,K,19.00,201.00,78.00,Voleybol
Matthew John "Matt" Anderson,E,29.00,202.00,100.00,Voleybol
Brittney Yevette Griner,K,25.00,203.00,94.00,Basketbol
David Cameron Lee,E,34.00,203.00,105.00,Voleybol
Murphy Edward Troy,E,27.00,203.00,107.00,Voleybol
Ivan Zaytsev,E,27.00,204.00,100.00,Voleybol
der Francis Carbonera,E,32.00,205.00,107.00,Voleybol
Simone Buti,E,32.00,206.00,100.00,Voleybol
Aaron Russell,E,23.00,206.00,93.00,Voleybol
Evandro Motta Guerra,E,34.00,207.00,106.00,Voleybol
Maxwell Philip "Max" Holt,E,29.00,208.00,90.00,Voleybol
Matteo Piano,E,25.00,208.00,102.00,Voleybol
Lucas Saatkamp,E,30.00,209.00,101.00,Voleybol
Maurcio Luiz de Souza,E,27.00,209.00,93.00,Voleybol
Wei Qiuyue,K,27.00,1820.00,65.00,Voleybol
Emanuele Birarelli,E,35.00,,95.00,Voleybol
Jovana Brakoevi-Kancian,K,28.00,,82.00,Voleybol
Bruno "Bruninho" Mossa de Rezende,E,30.00,,76.00,Voleybol
Tina Alexandria Charles,K,27.00,,88.00,Basketbol
Micah Makanamaikalani Christenson,E,23.00,,86.00,Voleybol
